i,d,sum,r,s,k,aligned,nX,nY,nZ,v0,v1,v2,v3,l1,db,Tdot,eq,recon
815,27,37,1,1,13,0,13,13,13,0,-1,2,-1,4,1,-1,1,1
820,356,521,0,0,178,1,178,178,178,2,-4,4,-2,12,0,0,1,1
823,362,531,1,0,181,0,180,180,180,3,-5,5,-3,16,-2,2,1,1
825,21,29,1,1,10,0,10,10,10,1,-1,0,0,2,-1,1,1,1
826,21,29,0,1,10,0,10,10,10,0,-1,1,0,2,2,-2,1,1
835,350,512,1,0,175,0,174,174,174,3,-5,5,-3,16,-2,2,1,1
856,55,87,0,1,27,0,27,27,27,0,-1,1,0,2,2,-2,1,1
881,360,531,1,0,180,0,179,179,179,2,-5,5,-2,14,2,-2,1,1
892,21,35,0,1,10,0,10,10,10,-1,1,-1,1,4,2,-2,1,1
901,336,494,1,0,168,0,167,167,167,4,-6,5,-3,18,-3,3,1,1
904,336,494,0,0,168,1,168,168,168,2,-4,4,-2,12,0,0,1,1
905,336,494,1,0,168,0,167,167,167,2,-4,4,-2,12,0,0,1,1
906,336,494,0,0,168,1,168,168,168,2,-4,4,-2,12,0,0,1,1
907,336,494,1,0,168,0,167,167,167,2,-4,4,-2,12,0,0,1,1
908,336,494,0,0,168,1,168,168,168,2,-4,4,-2,12,0,0,1,1
909,336,494,1,0,168,0,167,167,167,2,-4,4,-2,12,0,0,1,1
910,336,494,0,0,168,1,168,168,168,2,-4,4,-2,12,0,0,1,1
911,336,494,1,0,168,0,167,167,167,2,-4,4,-2,12,0,0,1,1
912,336,494,0,0,168,1,168,168,168,2,-4,4,-2,12,0,0,1,1
913,336,494,1,0,168,0,167,167,167,2,-4,4,-2,12,0,0,1,1
914,336,494,0,0,168,1,168,168,168,2,-4,4,-2,12,0,0,1,1
915,336,494,1,0,168,0,167,167,167,2,-4,4,-2,12,0,0,1,1
916,320,468,0,0,160,1,160,160,160,3,-6,6,-3,18,0,0,1,1
916,336,494,0,0,168,1,168,168,168,2,-4,4,-2,12,0,0,1,1
917,6,11,1,0,3,0,2,2,2,0,0,0,0,0,0,0,1,1
917,176,258,1,0,88,0,87,87,87,1,-2,2,-1,6,0,0,1,1
917,179,263,1,1,89,0,89,89,89,1,-1,1,-1,4,-2,2,1,1
917,320,468,1,0,160,0,159,159,159,3,-6,6,-3,18,0,0,1,1
917,323,473,1,1,161,0,161,161,161,3,-5,5,-3,16,-2,2,1,1
917,336,494,1,0,168,0,167,167,167,2,-4,4,-2,12,0,0,1,1
918,320,468,0,0,160,1,160,160,160,3,-6,6,-3,18,0,0,1,1
918,336,494,0,0,168,1,168,168,168,2,-4,4,-2,12,0,0,1,1
919,336,494,1,0,168,0,167,167,167,2,-4,4,-2,12,0,0,1,1
920,316,465,0,0,158,1,158,158,158,3,-6,6,-3,18,0,0,1,1
920,336,494,0,0,168,1,168,168,168,2,-4,4,-2,12,0,0,1,1
921,4,8,1,0,2,0,1,1,1,-1,1,0,0,2,1,-1,1,1
921,336,494,1,0,168,0,167,167,167,2,-4,4,-2,12,0,0,1,1
922,177,260,0,1,88,0,88,88,88,0,-1,2,-1,4,1,-1,1,1
922,336,494,0,0,168,1,168,168,168,2,-4,4,-2,12,0,0,1,1
923,6,11,1,0,3,0,2,2,2,1,-1,0,0,2,-1,1,1,1
923,336,494,1,0,168,0,167,167,167,2,-4,4,-2,12,0,0,1,1
924,336,494,0,0,168,1,168,168,168,2,-4,4,-2,12,0,0,1,1
925,4,8,1,0,2,0,1,1,1,1,-1,0,0,2,-1,1,1,1
925,336,494,1,0,168,0,167,167,167,2,-4,4,-2,12,0,0,1,1
926,336,494,0,0,168,1,168,168,168,2,-4,4,-2,12,0,0,1,1
927,336,494,1,0,168,0,167,167,167,2,-4,4,-2,12,0,0,1,1
928,171,249,0,1,85,0,85,85,85,0,-1,2,-1,4,1,-1,1,1
928,172,251,0,0,86,1,86,86,86,1,-2,2,-1,6,0,0,1,1
928,336,494,0,0,168,1,168,168,168,2,-4,4,-2,12,0,0,1,1
933,13,20,1,1,6,0,6,6,6,1,0,-1,0,2,-3,3,1,1
933,32,48,1,0,16,0,15,15,15,0,2,-3,1,6,-3,3,1,1
933,112,162,1,0,56,0,55,55,55,2,-3,2,-1,8,-1,1,1,1
934,111,162,0,1,55,0,55,55,55,2,-3,2,-1,8,-1,1,1,1
940,15,21,0,1,7,0,7,7,7,-1,1,-1,1,4,2,-2,1,1
948,100,145,0,0,50,1,50,50,50,1,-2,2,-1,6,0,0,1,1
953,24,37,1,0,12,0,11,11,11,0,1,-1,0,2,-2,2,1,1
956,108,155,0,0,54,1,54,54,54,1,-2,2,-1,6,0,0,1,1
973,89,127,1,1,44,0,44,44,44,2,-2,1,-1,6,-3,3,1,1
993,231,337,1,1,115,0,115,115,115,0,0,1,-1,2,-1,1,1,1
994,84,121,0,0,42,1,42,42,42,1,-2,2,-1,6,0,0,1,1
995,84,121,1,0,42,0,41,41,41,1,-2,2,-1,6,0,0,1,1
996,84,121,0,0,42,1,42,42,42,1,-2,2,-1,6,0,0,1,1
997,80,114,1,0,40,0,39,39,39,2,-3,2,-1,8,-1,1,1,1
997,84,121,1,0,42,0,41,41,41,1,-2,2,-1,6,0,0,1,1
998,79,114,0,1,39,0,39,39,39,2,-3,2,-1,8,-1,1,1,1
998,84,121,0,0,42,1,42,42,42,1,-2,2,-1,6,0,0,1,1
999,84,121,1,0,42,0,41,41,41,1,-2,2,-1,6,0,0,1,1
1000,43,61,0,1,21,0,21,21,21,0,-1,1,0,2,2,-2,1,1
1000,84,121,0,0,42,1,42,42,42,1,-2,2,-1,6,0,0,1,1
1005,25,35,1,1,12,0,12,12,12,1,-1,1,-1,4,-2,2,1,1
1007,27,37,1,1,13,0,13,13,13,0,-1,2,-1,4,1,-1,1,1
1017,21,29,1,1,10,0,10,10,10,1,-1,0,0,2,-1,1,1,1
1018,21,29,0,1,10,0,10,10,10,0,-1,1,0,2,2,-2,1,1
1031,30,40,1,0,15,0,14,14,14,0,1,-1,0,2,-2,2,1,1
1052,120,170,0,0,60,1,60,60,60,-1,2,-2,1,6,0,0,1,1
1056,117,165,0,1,58,0,58,58,58,0,1,-2,1,4,-1,1,1,1
1064,195,284,0,1,97,0,97,97,97,0,-1,1,0,2,2,-2,1,1
1066,12,15,0,0,6,1,6,6,6,0,0,0,0,0,0,0,1,1
1069,11,13,1,1,5,0,5,5,5,0,1,-1,0,2,-2,2,1,1
1069,108,151,1,0,54,0,53,53,53,-2,3,-3,2,10,2,-2,1,1
1071,9,10,1,1,4,0,4,4,4,-1,1,-1,1,4,2,-2,1,1
1073,15,18,1,1,7,0,7,7,7,0,0,1,-1,2,-1,1,1,1
1074,8,9,0,0,4,1,4,4,4,-1,1,1,-1,4,0,0,1,1
1078,12,15,0,0,6,1,6,6,6,0,0,0,0,0,0,0,1,1
1080,11,13,0,1,5,0,5,5,5,0,-1,1,0,2,2,-2,1,1
1082,8,9,0,0,4,1,4,4,4,1,-1,-1,1,4,0,0,1,1
1084,51,72,0,1,25,0,25,25,25,-1,1,-1,1,4,2,-2,1,1
1086,181,263,0,1,90,0,90,90,90,0,-1,1,0,2,2,-2,1,1
1089,179,261,1,1,89,0,89,89,89,1,-1,1,-1,4,-2,2,1,1
1090,48,70,0,0,24,1,24,24,24,-1,2,-2,1,6,0,0,1,1
1092,177,258,0,1,88,0,88,88,88,1,-1,0,0,2,-1,1,1,1
1093,32,48,1,0,16,0,15,15,15,-1,0,1,0,2,3,-3,1,1
1096,27,40,0,1,13,0,13,13,13,0,-1,1,0,2,2,-2,1,1
1100,45,66,0,1,22,0,22,22,22,-1,2,-3,2,8,1,-1,1,1
1103,42,63,1,0,21,0,20,20,20,-1,3,-3,1,8,-2,2,1,1
1107,19,30,1,1,9,0,9,9,9,0,1,0,-1,2,-3,3,1,1
1116,27,42,0,1,13,0,13,13,13,-1,1,-1,1,4,2,-2,1,1
1117,4,8,1,0,2,0,1,1,1,0,0,0,0,0,0,0,1,1
1125,13,20,1,1,6,0,6,6,6,1,0,-1,0,2,-3,3,1,1
1125,32,48,1,0,16,0,15,15,15,0,2,-3,1,6,-3,3,1,1
1132,15,21,0,1,7,0,7,7,7,-1,1,-1,1,4,2,-2,1,1
1145,24,37,1,0,12,0,11,11,11,0,1,-1,0,2,-2,2,1,1
1165,73,101,1,1,36,0,36,36,36,2,-2,1,-1,6,-3,3,1,1
1185,266,393,1,0,133,0,132,132,132,0,-2,2,0,4,4,-4,1,1
1189,48,66,1,0,24,0,23,23,23,1,-1,0,0,2,-1,1,1,1
1190,47,66,0,1,23,0,23,23,23,1,-1,0,0,2,-1,1,1,1
1192,48,66,0,0,24,1,24,24,24,0,0,0,0,0,0,0,1,1
1197,25,35,1,1,12,0,12,12,12,1,-1,1,-1,4,-2,2,1,1
1199,27,37,1,1,13,0,13,13,13,0,-1,2,-1,4,1,-1,1,1
1201,44,59,1,0,22,0,21,21,21,1,0,-1,0,2,-3,3,1,1
1204,44,59,0,0,22,1,22,22,22,-1,2,-2,1,6,0,0,1,1
1209,21,29,1,1,10,0,10,10,10,1,-1,0,0,2,-1,1,1,1
1210,21,29,0,1,10,0,10,10,10,0,-1,1,0,2,2,-2,1,1
1212,35,46,0,1,17,0,17,17,17,-1,1,-1,1,4,2,-2,1,1
1212,36,47,0,0,18,1,18,18,18,-1,2,-2,1,6,0,0,1,1
1217,32,42,1,0,16,0,15,15,15,-2,2,-1,1,6,3,-3,1,1
1219,32,42,1,0,16,0,15,15,15,-1,2,-1,0,4,-1,1,1,1
1220,60,81,0,0,30,1,30,30,30,0,0,0,0,0,0,0,1,1
1224,32,42,0,0,16,1,16,16,16,0,0,0,0,0,0,0,1,1
1235,49,66,1,1,24,0,24,24,24,0,0,0,0,0,0,0,1,1
1237,48,66,1,0,24,0,23,23,23,0,0,0,0,0,0,0,1,1
1237,51,71,1,1,25,0,25,25,25,0,1,-1,0,2,-2,2,1,1
1240,48,66,0,0,24,1,24,24,24,0,0,0,0,0,0,0,1,1
1246,45,61,0,1,22,0,22,22,22,0,-1,2,-1,4,1,-1,1,1
1248,43,57,0,1,21,0,21,21,21,0,-1,2,-1,4,1,-1,1,1
1248,44,59,0,0,22,1,22,22,22,1,-2,2,-1,6,0,0,1,1
1249,32,42,1,0,16,0,15,15,15,2,-2,1,-1,6,-3,3,1,1
1249,209,305,1,1,104,0,104,104,104,1,0,-1,0,2,-3,3,1,1
1251,32,42,1,0,16,0,15,15,15,1,-2,1,0,4,1,-1,1,1
1254,212,311,0,0,106,1,106,106,106,0,0,0,0,0,0,0,1,1
1256,32,42,0,0,16,1,16,16,16,0,0,0,0,0,0,0,1,1
1258,12,15,0,0,6,1,6,6,6,0,0,0,0,0,0,0,1,1
1261,11,13,1,1,5,0,5,5,5,0,1,-1,0,2,-2,2,1,1
1263,9,10,1,1,4,0,4,4,4,-1,1,-1,1,4,2,-2,1,1
1264,204,297,0,0,102,1,102,102,102,-1,2,-2,1,6,0,0,1,1
1265,15,18,1,1,7,0,7,7,7,0,0,1,-1,2,-1,1,1,1
1266,8,9,0,0,4,1,4,4,4,-1,1,1,-1,4,0,0,1,1
1270,12,15,0,0,6,1,6,6,6,0,0,0,0,0,0,0,1,1
1272,11,13,0,1,5,0,5,5,5,0,-1,1,0,2,2,-2,1,1
1274,8,9,0,0,4,1,4,4,4,1,-1,-1,1,4,0,0,1,1
1285,159,238,1,1,79,0,79,79,79,0,0,1,-1,2,-1,1,1,1
1285,192,284,1,0,96,0,95,95,95,-1,3,-3,1,8,-2,2,1,1
1287,30,40,1,0,15,0,14,14,14,0,1,-1,0,2,-2,2,1,1
1287,158,236,1,0,79,0,78,78,78,0,-1,2,-1,4,1,-1,1,1
1288,192,284,0,0,96,1,96,96,96,-2,4,-4,2,12,0,0,1,1
1289,156,233,1,0,78,0,77,77,77,0,-1,1,0,2,2,-2,1,1
1289,191,282,1,1,95,0,95,95,95,-1,4,-5,2,12,-3,3,1,1
1291,156,233,1,0,78,0,77,77,77,0,-1,2,-1,4,1,-1,1,1
1297,276,413,1,0,138,0,137,137,137,-4,7,-6,3,20,1,-1,1,1
1299,142,214,1,0,71,0,70,70,70,1,-1,1,-1,4,-2,2,1,1
1299,276,413,1,0,138,0,137,137,137,-3,7,-7,3,20,-2,2,1,1
1300,128,192,0,0,64,1,64,64,64,0,0,0,0,0,0,0,1,1
1301,128,192,1,0,64,0,63,63,63,0,0,0,0,0,0,0,1,1
1302,128,192,0,0,64,1,64,64,64,0,0,0,0,0,0,0,1,1
1303,271,406,1,1,135,0,135,135,135,-4,7,-6,3,20,1,-1,1,1
1309,127,190,1,1,63,0,63,63,63,1,-1,1,-1,4,-2,2,1,1
1311,126,188,1,0,63,0,62,62,62,1,-2,2,-1,6,0,0,1,1
1312,108,161,0,0,54,1,54,54,54,1,-2,2,-1,6,0,0,1,1
1313,124,185,1,0,62,0,61,61,61,1,-2,2,-1,6,0,0,1,1
1315,124,185,1,0,62,0,61,61,61,1,-2,2,-1,6,0,0,1,1
1317,258,387,1,0,129,0,128,128,128,-3,6,-5,2,16,-1,1,1,1
1322,12,15,0,0,6,1,6,6,6,0,0,0,0,0,0,0,1,1
1325,11,13,1,1,5,0,5,5,5,0,1,-1,0,2,-2,2,1,1
1326,135,204,0,1,67,0,67,67,67,1,-1,0,0,2,-1,1,1,1
1326,136,205,0,0,68,1,68,68,68,1,-1,-1,1,4,0,0,1,1
1327,9,10,1,1,4,0,4,4,4,-1,1,-1,1,4,2,-2,1,1
1328,180,267,0,0,90,1,90,90,90,-3,6,-6,3,18,0,0,1,1
1329,15,18,1,1,7,0,7,7,7,0,0,1,-1,2,-1,1,1,1
1330,8,9,0,0,4,1,4,4,4,-1,1,1,-1,4,0,0,1,1
1330,132,199,0,0,66,1,66,66,66,0,0,0,0,0,0,0,1,1
1333,173,260,1,1,86,0,86,86,86,-2,5,-5,2,14,-2,2,1,1
1334,12,15,0,0,6,1,6,6,6,0,0,0,0,0,0,0,1,1
1336,11,13,0,1,5,0,5,5,5,0,-1,1,0,2,2,-2,1,1
1338,8,9,0,0,4,1,4,4,4,1,-1,-1,1,4,0,0,1,1
1340,168,252,0,0,84,1,84,84,84,-3,6,-6,3,18,0,0,1,1
1356,76,117,0,0,38,1,38,38,38,0,0,0,0,0,0,0,1,1
1362,16,26,0,0,8,1,8,8,8,0,0,0,0,0,0,0,1,1
1367,911,1386,1,1,455,0,455,455,455,0,-1,2,-1,4,1,-1,1,1
