m,alph,code,T,n_sums,i,d,sum,r,s,k,aligned,nX,nY,nZ,v_xy,v_yz,l1_xy,l1_yz,db_xy,db_yz,defX,defY,defZ,in_LA,in_LT,Tdot_v,anc_acf,anc_Tcube,eq_ok,type,types,seed,Wlen
2,0123,32 31 20 01,"5,4,2,1",4,298,12,15,0,0,6,1,6,6,6,"0,0,0,0","0,0,0,0",0,0,0,0,0,0,0,1,1,0,0,1,1,"0,0",0:0|0:0|0:0,2,2048
2,0123,32 31 20 01,"5,4,2,1",4,301,11,13,1,1,5,0,5,5,5,"0,1,-1,0","0,-1,1,0",2,2,-2,2,0,2,0,0,0,2,0,0,1,"1,1",1:1|0:1|1:1,2,2048
2,0123,32 31 20 01,"5,4,2,1",4,303,9,10,1,1,4,0,4,4,4,"-1,1,-1,1","1,-1,0,0",4,2,2,-1,2,0,1,0,0,-2,0,0,1,"1,1",1:1|0:1|1:1,2,2048
2,0123,32 31 20 01,"5,4,2,1",4,305,15,18,1,1,7,0,7,7,7,"0,0,1,-1","0,-1,1,0",2,2,-1,2,1,2,0,0,0,1,0,0,1,"1,1",1:1|0:1|1:1,2,2048
2,0123,32 31 20 01,"5,4,2,1",4,306,8,9,0,0,4,1,4,4,4,"-1,1,1,-1","1,-1,-1,1",4,4,0,0,0,0,0,1,1,0,0,1,1,"0,0",0:0|0:0|0:0,2,2048
2,0123,32 31 20 01,"5,4,2,1",4,310,12,15,0,0,6,1,6,6,6,"0,0,0,0","0,0,0,0",0,0,0,0,0,0,0,1,1,0,0,1,1,"0,0",0:0|0:0|0:0,2,2048
2,0123,32 31 20 01,"5,4,2,1",4,312,11,13,0,1,5,0,5,5,5,"0,-1,1,0","1,0,-1,0",2,2,2,-3,2,0,3,0,0,-2,0,0,1,"0,1",0:1|1:1|0:1,2,2048
2,0123,32 31 20 01,"5,4,2,1",4,314,8,9,0,0,4,1,4,4,4,"1,-1,-1,1","-1,1,1,-1",4,4,0,0,0,0,0,1,1,0,0,1,1,"0,0",0:0|0:0|0:0,2,2048
2,0123,32 31 20 01,"5,4,2,1",4,316,51,72,0,1,25,0,25,25,25,"-1,1,-1,1","0,0,-1,1",4,2,2,1,3,1,0,0,0,-2,0,0,1,"0,1",0:1|1:1|0:1,2,2048
2,0123,32 31 20 01,"5,4,2,1",4,322,48,70,0,0,24,1,24,24,24,"-1,2,-2,1","0,0,0,0",6,0,0,0,0,0,0,0,1,0,0,1,1,"0,0",0:0|0:0|0:0,2,2048
